run_id,experiment_id,pattern,model,task_name,status,llm_calls,prompt_tokens,completion_tokens,planner_calls,executor_calls,duration_seconds,energy_kwh,pass_rate,timestamp,total_tokens,energy_joules,success,model_size_b,pattern_paper_name
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,difference-of-squares,completed,1,914,1442,0,1,20.56787014,0.000253933,1,2026-05-09T01:02:57Z,2356,914.1588,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,diffie-hellman,completed,1,1091,2554,0,1,37.09705997,0.000443251,1,2026-05-09T01:02:57Z,3645,1595.7035999999998,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dnd-character,completed,2,3466,5224,0,2,78.2136631,0.000917981,1,2026-05-09T01:02:57Z,8690,3304.7316,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dominoes,failed,0,0,0,0,0,900.0,0.013109639,0,2026-05-09T01:02:57Z,0,47194.700399999994,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dot-dsl,failed,1,1550,6882,0,1,900.0,0.014367282,0,2026-05-09T01:02:57Z,8432,51722.2152,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,eliuds-eggs,completed,1,1213,3281,0,1,48.70778608,0.000575938,1,2026-05-09T01:02:57Z,4494,2073.3768,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,error-handling,failed,2,2633,10998,0,2,171.053786,0.001979143,0,2026-05-09T01:02:57Z,13631,7124.9148000000005,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,etl,completed,1,1178,2200,0,1,32.1071682,0.000385904,1,2026-05-09T01:02:57Z,3378,1389.2544,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,flatten-array,completed,1,926,2746,0,1,39.62688994,0.000474797,1,2026-05-09T01:02:57Z,3672,1709.2692,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,flower-field,failed,1,1274,4567,0,1,900.0,0.01390484,0,2026-05-09T01:02:57Z,5841,50057.424,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,food-chain,failed,0,0,0,0,0,900.0,0.013106744,0,2026-05-09T01:02:57Z,0,47184.2784,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,forth,failed,0,0,0,0,0,900.0,0.013109015,0,2026-05-09T01:02:57Z,0,47192.454,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,game-of-life,completed,2,2612,4150,0,2,60.51362014,0.000713996,1,2026-05-09T01:02:57Z,6762,2570.3856,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,gigasecond,completed,1,1627,1696,0,1,25.22803283,0.000309566,1,2026-05-09T01:02:57Z,3323,1114.4376,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,go-counting,failed,0,0,0,0,0,900.0,0.01310989,0,2026-05-09T01:02:57Z,0,47195.604,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,grade-school,failed,2,4860,10560,0,2,171.6477659,0.001987551,0,2026-05-09T01:02:57Z,15420,7155.1836,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,grains,completed,1,1115,1852,0,1,26.88629389,0.000329861,1,2026-05-09T01:02:57Z,2967,1187.4995999999999,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,grep,failed,0,0,0,0,0,900.0,0.013107377,0,2026-05-09T01:02:57Z,0,47186.5572,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,hamming,completed,1,1216,868,0,1,13.056602,0.00017368,1,2026-05-09T01:02:57Z,2084,625.248,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,hangman,failed,1,1245,3370,0,1,900.0,0.013685027,0,2026-05-09T01:02:57Z,4615,49266.097200000004,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,hello-world,completed,1,835,508,0,1,7.583935022,0.000107057,1,2026-05-09T01:02:57Z,1343,385.4052,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,hexadecimal,completed,1,810,2622,0,1,37.50598717,0.000449153,1,2026-05-09T01:02:57Z,3432,1616.9507999999998,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,high-scores,completed,2,3820,4765,0,2,72.0189693,0.000851562,1,2026-05-09T01:02:57Z,8585,3065.6232,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,house,completed,2,9142,12566,0,2,219.3003809,0.002531319,1,2026-05-09T01:02:57Z,21708,9112.7484,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,isbn-verifier,completed,1,1217,6107,0,1,94.62934518,0.001100199,1,2026-05-09T01:02:57Z,7324,3960.7164000000002,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,isogram,completed,2,2097,5303,0,2,77.25457811,0.00090665,1,2026-05-09T01:02:57Z,7400,3263.9399999999996,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,killer-sudoku-helper,completed,2,6731,4524,0,2,71.88029909,0.000851159,1,2026-05-09T01:02:57Z,11255,3064.1724,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,kindergarten-garden,failed,2,6631,7962,0,2,257.9945199,0.002971057,0,2026-05-09T01:02:57Z,14593,10695.8052,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,knapsack,completed,1,1070,2961,0,1,43.60864878,0.000520645,1,2026-05-09T01:02:57Z,4031,1874.3220000000001,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,largest-series-product,completed,2,3460,4910,0,2,73.77038383,0.000871128,1,2026-05-09T01:02:57Z,8370,3136.0607999999997,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,leap,completed,1,891,1212,0,1,17.60913301,0.000220902,1,2026-05-09T01:02:57Z,2103,795.2472,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,ledger,failed,0,0,0,0,0,900.0,0.013107398,0,2026-05-09T01:02:57Z,0,47186.6328,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,line-up,completed,1,1035,2703,0,1,39.32128096,0.000470447,1,2026-05-09T01:02:57Z,3738,1693.6091999999999,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,linked-list,completed,2,8573,10165,0,2,176.320827,0.002043102,1,2026-05-09T01:02:57Z,18738,7355.167200000001,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,list-ops,failed,1,1077,7318,0,1,900.0,0.014424814,0,2026-05-09T01:02:57Z,8395,51929.3304,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,luhn,failed,0,0,0,0,0,900.0,0.01310726,0,2026-05-09T01:02:57Z,0,47186.136000000006,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,markdown,failed,0,0,0,0,0,900.0,0.013110223,0,2026-05-09T01:02:57Z,0,47196.802800000005,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,matching-brackets,completed,1,906,1840,0,1,26.43034101,0.000324508,1,2026-05-09T01:02:57Z,2746,1168.2287999999999,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,matrix,completed,1,1111,2932,0,1,42.80889797,0.000511213,1,2026-05-09T01:02:57Z,4043,1840.3668000000002,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,meetup,failed,0,0,0,0,0,900.0,0.013110162,0,2026-05-09T01:02:57Z,0,47196.5832,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,minesweeper,completed,2,3821,8484,0,2,130.8295281,0.001521071,1,2026-05-09T01:02:57Z,12305,5475.8556,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,nth-prime,completed,1,1056,3660,0,1,54.02363801,0.000639846,1,2026-05-09T01:02:57Z,4716,2303.4456,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,ocr-numbers,failed,0,0,0,0,0,900.0,0.013109269,0,2026-05-09T01:02:57Z,0,47193.3684,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,octal,completed,2,2842,9656,0,2,147.19313,0.001708645,1,2026-05-09T01:02:57Z,12498,6151.121999999999,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,paasio,failed,2,10451,9827,0,2,173.298466,0.002019197,0,2026-05-09T01:02:57Z,20278,7269.1092,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,palindrome-products,failed,0,0,0,0,0,900.0,0.013106224,0,2026-05-09T01:02:57Z,0,47182.4064,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,pangram,completed,1,946,2022,0,1,28.89581704,0.000354563,1,2026-05-09T01:02:57Z,2968,1276.4268,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,pascals-triangle,completed,2,4582,9056,0,2,145.2904599,0.001685561,1,2026-05-09T01:02:57Z,13638,6068.0196,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,perfect-numbers,completed,1,1459,5301,0,1,81.52373195,0.00097325,1,2026-05-09T01:02:57Z,6760,3503.7000000000003,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,phone-number,failed,0,0,0,0,0,900.0,0.013106947,0,2026-05-09T01:02:57Z,0,47185.0092,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,pig-latin,failed,0,0,0,0,0,900.0,0.013109051,0,2026-05-09T01:02:57Z,0,47192.5836,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,point-mutations,completed,2,2658,3822,0,2,56.46455002,0.000672817,1,2026-05-09T01:02:57Z,6480,2422.1412,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,poker,failed,1,761,7299,0,1,900.0,0.014413512,0,2026-05-09T01:02:57Z,8060,51888.6432,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,pov,failed,0,0,0,0,0,900.0,0.013108304,0,2026-05-09T01:02:57Z,0,47189.8944,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,prime-factors,completed,1,971,1131,0,1,16.23561907,0.000203946,1,2026-05-09T01:02:57Z,2102,734.2056,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,protein-translation,completed,2,6539,8028,0,2,129.9537652,0.001512733,1,2026-05-09T01:02:57Z,14567,5445.8388,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,proverb,failed,2,3800,12232,0,2,195.3292432,0.002255105,0,2026-05-09T01:02:57Z,16032,8118.378,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,pythagorean-triplet,completed,1,1236,4611,0,1,69.70924997,0.000875568,1,2026-05-09T01:02:57Z,5847,3152.0447999999997,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,queen-attack,completed,1,1392,4444,0,1,67.37432909,0.000791082,1,2026-05-09T01:02:57Z,5836,2847.8952,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,rail-fence-cipher,failed,0,0,0,0,0,900.0,0.013108838,0,2026-05-09T01:02:57Z,0,47191.8168,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,raindrops,completed,1,1300,1219,0,1,17.98791385,0.000225525,1,2026-05-09T01:02:57Z,2519,811.89,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,rational-numbers,failed,0,0,0,0,0,900.0,0.013108757,0,2026-05-09T01:02:57Z,0,47191.525200000004,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,react,failed,1,898,6851,0,1,900.0,0.015695319,0,2026-05-09T01:02:57Z,7749,56503.1484,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,rectangles,failed,1,889,6122,0,1,900.0,0.015557803,0,2026-05-09T01:02:57Z,7011,56008.0908,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,relative-distance,failed,1,1956,6887,0,1,900.0,0.014379563,0,2026-05-09T01:02:57Z,8843,51766.4268,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,resistor-color,completed,1,1047,2113,0,1,30.43142104,0.000367972,1,2026-05-09T01:02:57Z,3160,1324.6992,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,resistor-color-duo,completed,1,1021,2054,0,1,29.61065412,0.000533009,1,2026-05-09T01:02:57Z,3075,1918.8324,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,resistor-color-expert,failed,0,0,0,0,0,900.0,0.013111129,0,2026-05-09T01:02:57Z,0,47200.064399999996,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,resistor-color-trio,completed,2,3733,13552,0,2,337.4688301,0.003876336,1,2026-05-09T01:02:57Z,17285,13954.8096,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,rest-api,failed,0,0,0,0,0,900.0,0.013107247,0,2026-05-09T01:02:57Z,0,47186.0892,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,reverse-string,completed,1,827,529,0,1,7.790956974,0.000109314,1,2026-05-09T01:02:57Z,1356,393.53040000000004,1,4,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,accumulate,completed,1,870,793,0,1,22.29219389,0.00033181,1,2026-05-09T13:03:08Z,1663,1194.5159999999998,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,acronym,completed,1,832,2238,0,1,51.81198597,0.000613129,1,2026-05-09T13:03:08Z,3070,2207.2644,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,affine-cipher,completed,1,1809,3947,0,1,95.26291084,0.00110891,1,2026-05-09T13:03:08Z,5756,3992.076,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,all-your-base,completed,1,1387,3704,0,1,88.33854699,0.001031238,1,2026-05-09T13:03:08Z,5091,3712.4568000000004,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,allergies,completed,1,995,2439,0,1,57.03264499,0.00067527,1,2026-05-09T13:03:08Z,3434,2430.9719999999998,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,alphametics,completed,2,4990,3991,0,2,96.66837311,0.001210417,1,2026-05-09T13:03:08Z,8981,4357.501200000001,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,anagram,failed,0,0,0,0,0,900.0,0.013115437,0,2026-05-09T13:03:08Z,0,47215.5732,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,armstrong-numbers,completed,1,932,1320,0,1,30.96165419,0.000372675,1,2026-05-09T13:03:08Z,2252,1341.6299999999999,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,atbash-cipher,completed,1,1013,3616,0,1,85.39945078,0.000997247,1,2026-05-09T13:03:08Z,4629,3590.0892,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,bank-account,completed,2,4546,3265,0,2,199.4362259,0.002302541,1,2026-05-09T13:03:08Z,7811,8289.1476,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,beer-song,completed,1,4128,4311,0,1,230.518389,0.002651632,1,2026-05-09T13:03:08Z,8439,9545.8752,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,binary,completed,1,1260,2144,0,1,170.817661,0.001971577,1,2026-05-09T13:03:08Z,3404,7097.6772,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,binary-search,completed,1,1536,1082,0,1,25.90591908,0.000318968,1,2026-05-09T13:03:08Z,2618,1148.2848,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,binary-search-tree,completed,2,5819,4725,0,2,115.957299,0.001352398,1,2026-05-09T13:03:08Z,10544,4868.6328,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,bob,completed,2,2675,6339,0,2,286.0096388,0.003287971,1,2026-05-09T13:03:08Z,9014,11836.695600000001,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,book-store,failed,0,0,0,0,0,900.0,0.0131141199,0,2026-05-09T13:03:08Z,0,47210.831640000004,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,bottle-song,failed,2,5966,3668,0,2,92.86954999,0.001086207,0,2026-05-09T13:03:08Z,9634,3910.3452,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,bowling,failed,0,0,0,0,0,900.0,0.01311166747,0,2026-05-09T13:03:08Z,0,47202.002892,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,camicia,failed,0,0,0,0,0,900.0,0.01311181473,0,2026-05-09T13:03:08Z,0,47202.533028000005,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,change,failed,0,0,0,0,0,900.0,0.01311368772,0,2026-05-09T13:03:08Z,0,47209.275792,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,circular-buffer,completed,1,1734,2253,0,1,54.18784809,0.000640241,1,2026-05-09T13:03:08Z,3987,2304.8676,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,clock,completed,1,1686,3146,0,1,75.58186603,0.000881449,1,2026-05-09T13:03:08Z,4832,3173.2164,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,collatz-conjecture,completed,1,1358,1033,0,1,24.75892615,0.000305143,1,2026-05-09T13:03:08Z,2391,1098.5148000000002,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,complex-numbers,failed,2,6048,3900,0,2,97.93166399,0.00114819,0,2026-05-09T13:03:08Z,9948,4133.484,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,connect,failed,0,0,0,0,0,900.0,0.013111566,0,2026-05-09T13:03:08Z,0,47201.6376,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,crypto-square,failed,0,0,0,0,0,900.0,0.01311386551,0,2026-05-09T13:03:08Z,0,47209.915836,0,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,custom-set,completed,1,874,3185,0,1,74.60395813,0.001047104,1,2026-05-09T13:03:08Z,4059,3769.5744000000004,1,8,baseline
20260508-120747--baseline--qwen3_8b,20260508-120747--experiment,baseline,qwen3:8b,darts,completed,2,3218,5973,0,2,142.3085151,0.001651144,1,2026-05-09T13:03:08Z,9191,5944.1184,1,8,baseline
